Date,Company_ID,Company_Name,Current_Ratio,Quick_Ratio,Leverage_Ratio,Profit_Margin,Credit_Risk_Score,Liquidity_Ratio,Market_Volatility_Exposure,GDP Growth rate,CPI Inflation index,Policy Repo rate,Unemployment Rate(%),Money Supply (M2)(000'Billion),Stock Market Index(Monthly_Close),Stock Market Index(Monthly_Return),Stock Market Index(Monthly_Volatility),VIX(Monthly_Close),VIX(Monthly_Return),VIX(Monthly_Volatility),10-Year Government Bond Yield,AAA Corporate Bond Yield,Government Bond Yield (%) (10Y benchmark),Corporate Bond Spread,Exchange Rate (USD/INR)(Monthly_Close),Exchange Rate (USD/INR)(Monthly_Return),Exchange Rate (USD/INR)(Monthly_Volatility)
01-01-2015,C1,Alpha Holdings Ltd,2.011449112,1.927369325,1.456093134,0.089356471,54.94594139,1.889269619,1.337837675,1.68428,124.8,7.75,5.6,22.3,8808.900391,0.06353003,0.011881675,20.96999931,,0.093128106,7.79,3.97,2.15,1.82,61.79600143,-0.019598485,0.003640151
01-02-2015,C1,Alpha Holdings Ltd,2.218413403,2.086021855,2.520996491,0.050430423,70.0561651,2.130440273,1.350603998,1.68428,124.8,7.75,5.6,22.6,8844.599609,0.004052631,0.008215748,13.34000015,-0.363853095,0.055852611,7.73,3.97,2.15,1.82,61.75400162,-0.000603892,0.002827327
01-03-2015,C1,Alpha Holdings Ltd,2.223307401,1.936318825,2.39968378,0.097117629,76.72948724,1.884225709,1.498961913,1.68428,124.8,7.5,5.6,23.3,8491,-0.039979154,0.009866547,15.28999996,0.146176896,0.059894488,7.82,3.97,2.15,1.82,62.50899887,0.012306338,0.003798811
01-04-2015,C1,Alpha Holdings Ltd,2.327745349,1.925762194,2.049423981,0.084231009,70.45337368,1.913783304,1.484508579,2.14174,124.8,7.5,5.6,23.8,8181.5,-0.036450359,0.009257384,14.55000019,-0.048397631,0.055384188,7.84,3.97,2.15,1.82,63.44200134,0.014990586,0.004026208
01-05-2015,C1,Alpha Holdings Ltd,2.11751989,1.823907019,2.229215849,0.08512347,64.39841706,1.613986513,1.01017632,2.14174,124.8,7.5,5.6,24.2,8433.650391,0.03081958,0.012442466,13.84000015,-0.048797253,0.073263348,7.85,3.97,2.15,1.82,63.82500076,0.006189163,0.004114306
01-06-2015,C1,Alpha Holdings Ltd,1.740402923,1.957053414,2.156641631,0.11412973,66.35334329,1.422679783,1.759682549,2.14174,124.8,7.25,5.6,24.1,8368.5,-0.007725052,0.009547802,18.22999954,0.317196484,0.096221203,7.81,3.97,2.15,1.82,63.72399902,-0.001498065,0.002855968
01-07-2015,C1,Alpha Holdings Ltd,2.28697774,1.94837639,1.606394816,0.113642589,57.91555778,1.865391707,0.946143609,1.84623,124.8,7.25,5.6,23.8,8532.849609,0.019639076,0.008711399,12.11999989,-0.335161811,0.092860232,7.82,3.97,2.15,1.82,64.11799622,0.006234018,0.002510149
01-08-2015,C1,Alpha Holdings Ltd,1.921458053,2.003414554,1.7873658,0.108733391,65.47491696,1.979805291,1.405697593,1.84623,124.8,7.25,5.6,23.8,7971.299805,-0.065810348,0.015788773,28.43000031,1.345709618,0.165667823,7.79,3.97,2.15,1.82,66.14299774,0.031391967,0.005249287
01-09-2015,C1,Alpha Holdings Ltd,2.161173463,2.056260908,1.985657694,0.083819184,70.47049387,2.207027586,1.488708554,1.84623,125.4,6.75,5.6,24,7948.899902,-0.002810069,0.012806851,24.5,-0.138234269,0.084892771,7.73,3.97,2.15,1.82,65.91999817,-0.003257827,0.003368356
01-10-2015,C1,Alpha Holdings Ltd,1.857957005,1.972468566,2.035046314,0.108568435,61.12753293,1.808929672,1.473587751,2.03254,126.1,6.75,5.6,24.2,8065.799805,0.014706425,0.007060676,15.06999969,-0.384897972,0.059771919,7.6,3.97,2.15,1.82,65.44400024,-0.00713099,0.003308641
01-11-2015,C1,Alpha Holdings Ltd,1.918671075,1.911703414,2.041436821,0.118436015,66.95854844,2.071067443,1.582828384,2.03254,126.6,6.75,5.6,24.8,7935.25,-0.016185599,0.007530793,16.12999916,0.070338387,0.075762094,7.75,3.97,2.15,1.82,66.90000153,0.0220822,0.002580217
01-12-2015,C1,Alpha Holdings Ltd,2.652259677,2.102076093,2.306501924,0.105073724,65.80935459,2.62484337,1.270231096,2.03254,126.1,6.75,5.6,25,7946.350098,0.001398834,0.007874616,18.20999908,0.128952265,0.109256132,7.79,3.97,2.15,1.82,66.45500183,-0.006576485,0.002960001
01-01-2016,C1,Alpha Holdings Ltd,2.111861553,1.799909955,1.956157838,0.114228257,59.14877108,1.831485495,1.561215808,2.90244,126.3,6.75,5.6,25,7563.549805,-0.048173097,0.011654482,20.20000076,0.109280713,0.100604257,7.67,4.06,2.45,1.61,68.09300232,0.024466558,0.003212784
01-02-2016,C1,Alpha Holdings Ltd,1.932549635,1.852753548,1.907389035,0.073013526,59.34791235,2.308172238,1.218006976,2.90244,126,6.75,5.6,25.5,6987.049805,-0.076220824,0.013335085,20.54999924,0.017326656,0.062132579,7.72,4.06,2.45,1.61,68.73000336,0.009446936,0.003656259
01-03-2016,C1,Alpha Holdings Ltd,2.098189945,1.882801208,1.4319021,0.12448735,58.52591325,1.885122251,1.503725825,2.90244,126,6.75,5.6,26.6,7738.399902,0.10753467,0.010981738,13.94999981,-0.321167867,0.053476238,7.58,4.06,2.45,1.61,66.36799622,-0.034757905,0.004112404
01-04-2016,C1,Alpha Holdings Ltd,2.395811856,1.895607441,2.034132475,0.123952861,51.39319228,1.814473168,1.702892207,1.78095,127.3,6.5,5.6,28.5,7849.799805,0.014395728,0.009957672,15.69999981,0.12544803,0.065774602,7.44,4.06,2.45,1.61,66.43800354,0.001136118,0.002860568
01-05-2016,C1,Alpha Holdings Ltd,2.626560185,2.062961881,1.995084656,0.085428655,61.25110746,2.555073914,1.3899364,1.78095,128.6,6.5,5.6,27,8160.100098,0.039529708,0.009115354,14.18999958,-0.09617836,0.053062161,7.28,4.06,2.45,1.61,67.13300323,0.010474889,0.002504459
01-06-2016,C1,Alpha Holdings Ltd,2.238201826,1.991026417,2.222428608,0.099774529,63.73795339,1.746449398,1.615986372,1.78095,130.1,6.5,5.6,27.2,8287.75,0.015643178,0.007830522,15.63000011,0.101479956,0.146735047,7.5,4.06,2.45,1.61,67.41600037,0.004362668,0.003853849
01-07-2016,C1,Alpha Holdings Ltd,2.338440136,1.844636868,1.89853397,0.121143117,50.49883486,2.204684363,1.613548323,2.29156,131.1,6.5,5.6,27.2,8638.5,0.042321499,0.005885692,11.86999989,-0.240563033,0.046060476,7.35,4.06,2.45,1.61,67.00700378,-0.006014348,0.002644918
01-08-2016,C1,Alpha Holdings Ltd,2.369477874,1.960349057,1.626336995,0.078658322,61.42548995,2.308165415,1.400821317,2.29156,131.1,6.5,5.6,27.6,8786.200195,0.017097898,0.006770555,13.42000008,0.130581315,0.046454732,7.14,4.06,2.45,1.61,67.12660217,0.001821488,0.00186175
01-09-2016,C1,Alpha Holdings Ltd,2.2073794,1.98994368,2.015298383,0.102824999,58.83582998,2.199611761,1.345961816,2.29156,130.9,6.5,5.6,29.1,8611.150391,-0.019923266,0.008246087,13.28999996,-0.009687043,0.130045333,6.86,4.06,2.45,1.61,66.81629944,-0.004535916,0.003041404
01-10-2016,C1,Alpha Holdings Ltd,2.407872974,2.025183822,2.595960158,0.110550421,63.32481921,2.127476062,1.30040395,1.36379,131.4,6.25,5.6,28.4,8638,0.003118005,0.007720261,17.05999947,0.283671897,0.052456977,6.78,4.06,2.45,1.61,66.78140259,-0.000479775,0.002065412
