iter	RMSE
0	0.2368600008
1	0.2361997084
2	0.2355557685
3	0.2349023072
4	0.2342523003
5	0.2336196444
6	0.2330146995
7	0.2323900302
8	0.231798497
9	0.2312287534
10	0.2306557692
11	0.2300939057
12	0.2295558666
13	0.2290192779
14	0.2284831293
15	0.2279705108
16	0.2274427261
17	0.2269464918
18	0.2264542075
19	0.2259862696
20	0.2255156442
21	0.2250562518
22	0.2246059695
23	0.224169577
24	0.2237266609
25	0.2232977212
26	0.2228820136
27	0.2224790592
28	0.2220791757
29	0.2217083578
30	0.2213131225
31	0.2209333615
32	0.2205888365
33	0.2202197292
34	0.2198459695
35	0.219496142
36	0.2191317779
37	0.2188120487
38	0.2184813447
39	0.2181461841
40	0.2178235257
41	0.2175132906
42	0.2172055805
43	0.2169020849
44	0.2166110074
45	0.2163223778
46	0.2160387888
47	0.215768693
48	0.2155008864
49	0.2152309884
50	0.2149696872
51	0.2147060518
52	0.2144520802
53	0.2142086787
54	0.2139812374
55	0.2137348013
56	0.2134996333
57	0.213257449
58	0.2130324472
59	0.2128066206
60	0.212579089
61	0.2123586451
62	0.2121668681
63	0.2119681083
64	0.2117709837
65	0.2115765739
66	0.2113820514
67	0.2111951727
68	0.2110004131
69	0.2108355379
70	0.2106814402
71	0.2105046787
72	0.2103350884
73	0.2101688953
74	0.2100063794
75	0.2098445799
76	0.2096937494
77	0.2095380982
78	0.209382683
79	0.2092324687
80	0.2090901381
81	0.2089455822
82	0.2088136412
83	0.2086756621
84	0.2085424087
85	0.2084069488
86	0.2082694459
87	0.2081435654
88	0.2080202184
89	0.2078969703
90	0.2077914197
91	0.2076677231
92	0.2075585299
93	0.2074438951
94	0.2073299597
95	0.2072307177
96	0.2071312692
97	0.207025131
98	0.2069271231
99	0.2068375568
100	0.2067438548
101	0.2066496355
102	0.2065644184
103	0.2064761834
104	0.2063825453
105	0.2062885514
106	0.2062014884
107	0.2061150433
108	0.2060338922
109	0.2059470052
110	0.2058699994
111	0.2057818009
112	0.2057045553
113	0.2056320793
114	0.2055594416
115	0.2054857287
116	0.2054101477
117	0.2053447747
118	0.2052760665
119	0.2052139508
